Title,Author,Rating,Number of users rated,Price
The Moonlight Child ,Karen McQuestion,4.4 out of 5 stars,"15,777",$0.00
"The Girl You Killed: An addictive, heart-stopping psychological thriller (Leslie Wolfe Collection) ",Paperback,4.5 out of 5 stars,Other formats: ,$0.00
Endurance: Shackleton's Incredible Voyage ,Kindle,4.8 out of 5 stars,Alfred Lansing,$0.00
The Pale-Faced Lie: A True Story ,David Crow,4.5 out of 5 stars,"8,742",$13.75
A Promised Land ,Hardcover,4.9 out of 5 stars,Barack Obama,$0.00
The Cellist: A Novel (Gabriel Allon Book 21) ,Hardcover,4.0 out of 5 stars,Other formats: ,$14.99
Silverview: A Novel ,John le Carré,4.2 out of 5 stars,"2,426",$14.00
Better Off Dead: A Jack Reacher Novel ,Audible Audiobook,4.1 out of 5 stars,Other formats: ,$14.99
Theodore Boone 6-Book Box Set ,John Grisham,4.8 out of 5 stars,"1,512",$37.75
"The Complete Air Fryer Cookbook for Beginners: 600 Affordable, Quick & Easy Air Fryer Recipes with Tips & Tricks to Fry, Grill, Roast, and Bake Your Favorite Daily Meals ",Kindle,4.3 out of 5 stars,Allison E. Jackson,$15.99
The Missing ,Kindle,4.3 out of 5 stars,Kiersten Modglin,$0.00
Wish You Were Here: A Novel ,Jodi Picoult,4.5 out of 5 stars,402,$19.00
Vanderbilt: The Rise and Fall of an American Dynasty ,Anderson Cooper,4.4 out of 5 stars, and ,$18.00
Sold on a Monday: A Novel ,Kristina McMorris,4.4 out of 5 stars,"21,171",$0.00
The Case of the Murderous Dr. Cream: The Hunt for a Victorian Era Serial Killer ,Dean Jobb,4.3 out of 5 stars,354,$9.44
We Are All the Same in the Dark: A Novel ,Paperback,4.3 out of 5 stars,Julia Heaberlin,$0.00
The Indigo Girl: A Novel ,Natasha Boyd,4.6 out of 5 stars,"8,866",$11.40
House in the Cerulean Sea ,TJ Klune,4.7 out of 5 stars,"16,385",$15.06
The Housekeeper: A twisted psychological thriller ,Natalie Barelli,4.3 out of 5 stars,"10,788",$9.40
Never: A Novel ,Ken Follett,4.4 out of 5 stars,"2,554",$15.99
Sleigh Bells Ring: A Christmas Romance Novel ,RaeAnne Thayne,4.7 out of 5 stars,782,$9.99
The Second Mrs. Astor: A Heartbreaking Historical Novel of the Titanic ,Shana Abe,4.3 out of 5 stars,"1,167",$8.23
On Full Automatic: Surviving 13 Months in Vietnam ,Paperback,4.7 out of 5 stars,William Taylor,$0.00
"The Edelweiss Sisters: An epic, heartbreaking and gripping World War 2 novel ",Kate Hewitt,4.5 out of 5 stars,"1,814",$3.99
"Nala's World: One Man, His Rescue Cat, and a Bike Ride around the Globe ",Dean Nicholson,4.9 out of 5 stars, and ,$14.49
Uncle Tom's Cabin ,Harriet Beecher Stowe,4.6 out of 5 stars,"3,983",$1.99
