Title,Author,Rating,Number of users rated,Price
The Guilty Sister: An absolutely nail-biting psychological thriller with a shocking twist ,Arianne Richmonde,4.1 out of 5 stars,97,$3.99 
Never: A Novel ,Ken Follett,4.4 out of 5 stars,"2,398",$15.99 
Sold on a Monday: A Novel ,Kristina McMorris,4.4 out of 5 stars,"21,087",$0.00 
Wish You Were Here: A Novel ,Jodi Picoult,4.6 out of 5 stars,276,$19.88 
On Full Automatic: Surviving 13 Months in Vietnam ,Paperback,4.7 out of 5 stars,"8,532",$0.00 
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West (Thorndike Press Large Print Popular and Narrative Nonfiction) ,David McCullough,4.5 out of 5 stars,"6,103",$34.99 
"The Complete Air Fryer Cookbook for Beginners: 600 Affordable, Quick & Easy Air Fryer Recipes with Tips & Tricks to Fry, Grill, Roast, and Bake Your Favorite Daily Meals ",Kindle,4.3 out of 5 stars,"8,532",$15.99 
The Housekeeper: A twisted psychological thriller ,Natalie Barelli,4.3 out of 5 stars,"10,785",$9.40 
The Baseball 100 ,Joe Posnanski,4.8 out of 5 stars,358,$33.99 
The Lost Girls of Ireland: A heart-warming and feel-good page-turner set in Ireland (Starlight Cottages Book 1) ,Paperback,4.3 out of 5 stars,"4,366",$2.99 
The Missing ,Kindle,4.3 out of 5 stars,"5,556",$0.00 
Dune ,Paperback,4.7 out of 5 stars,"2,027",$0.00 
The Indigo Girl: A Novel ,Natasha Boyd,4.6 out of 5 stars,"8,861",$13.44 
All American Christmas ,Rachel Campos-Duffy,4.8 out of 5 stars,"78,945",$18.92 
We Are All the Same in the Dark: A Novel ,Paperback,4.3 out of 5 stars,"53,687",$0.00 
The Dark Hours ,Audible Audiobook,4.7 out of 5 stars,"5,556",$14.99 
"Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just About Anything Else You Can Think of ",Audible Audiobook,4.5 out of 5 stars,15,$8.19 
The Case of the Murderous Dr. Cream: The Hunt for a Victorian Era Serial Killer ,Dean Jobb,4.3 out of 5 stars,"78,945",$9.44 
What Should Darla Do? Featuring the Power to Choose (The Power to Choose Series) ,Adir Levy,4.8 out of 5 stars,"8,532",$14.84 
The Complete Instant Pot Cookbook: 1000 Recipes For Easy & Delicious Pressure Cooker Homemade Meals ,Kindle,4.8 out of 5 stars,"8,532",$11.29 
The Unfit Heiress: The Tragic Life and Scandalous Sterilization of Ann Cooper Hewitt ,Audrey Clare Farley,4.0 out of 5 stars,139,$14.99 
The Cellist: A Novel (Gabriel Allon Book 21) ,Audible Audiobook,4.0 out of 5 stars,"78,945",$14.99 
The Vanishing Half: A Novel ,Kindle,4.4 out of 5 stars,"5,556",$0.00 
Freaking Idiots Guides 4 Book Bundle Ebay Fiverr Kindle & Public Domain ,Nick Vulich,4.6 out of 5 stars,2,$5.66 
Sleigh Bells Ring: A Christmas Romance Novel ,RaeAnne Thayne,4.7 out of 5 stars,759,$9.99 
The Power of Your Subconscious Mind ,Joseph Murphy,4.6 out of 5 stars,"37,035",$5.49 
No Way Out: A Gripping Novel of Suspense ,Fern Michaels,4.1 out of 5 stars,"3,503",$0.00 
"The Edelweiss Sisters: An epic, heartbreaking and gripping World War 2 novel ",Kate Hewitt,4.5 out of 5 stars,"1,808",$3.99 
When the Apricots Bloom: A Novel of Riveting and Evocative Fiction ,Gina Wilkinson,4.2 out of 5 stars,"2,591",$13.58 
The Last Green Valley: A Novel ,Mark Sullivan,4.6 out of 5 stars,"18,165",$0.00 
Going There ,Hardcover,4.4 out of 5 stars,"27,900",$0.00 
American Marxism ,Mark R. Levin,4.9 out of 5 stars,"21,806",$14.00 
Pride & Prejudice (Deluxe Edition) ,Kindle,4.6 out of 5 stars,"2,027",$20.93 
Silverview: A Novel ,John le Carré,4.2 out of 5 stars,"2,406",$14.00 
The Perfect Wife (A Jessie Hunt Psychological Suspense Thriller—Book One) ,Paperback,4.4 out of 5 stars,"26,299",$0.00 
The Hive ,Gregg Olsen,4.0 out of 5 stars,"8,532",$0.00 
Winter Garden ,Kristin Hannah,4.6 out of 5 stars,"17,182",$7.56 
"The Complete Works of Jane Austen: (In One Volume) Sense and Sensibility, Pride and Prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady ... Sandition, and the Complete Juvenilia ",Jane Austen,4.7 out of 5 stars,"1,268",$2.99 
"Nala's World: One Man, His Rescue Cat, and a Bike Ride around the Globe ",Dean Nicholson,4.9 out of 5 stars,"27,900",$14.49 
Lying Next to Me ,Gregg Olsen,4.4 out of 5 stars,"10,238",$0.00 
The Dressmaker's Gift ,Fiona Valpy,4.5 out of 5 stars,"25,413",$8.99 
Unspeakable Things ,Jess Lourey,4.2 out of 5 stars,"17,741",$11.99 
The Marriage: An absolutely jaw-dropping psychological thriller ,K.L. Slater,4.2 out of 5 stars,"4,321",$3.99 
The League: How Five Rivals Created the NFL and Launched a Sports Empire ,John Eisenberg,4.6 out of 5 stars,492,$15.29 
Then She Was Gone: A Novel ,Lisa Jewell,4.6 out of 5 stars,"36,988",$8.52 
The Sleep Experiment: An edge-of-your-seat psychological thriller (World's Scariest Legends) ,Jeremy Bates,4.3 out of 5 stars,"4,069",$7.95 
Fortune and Glory: Tantalizing Twenty-Seven (Stephanie Plum Book 27) ,Audible Audiobook,4.6 out of 5 stars,"2,027",$8.99 
"8 MIRACULOUS MONTHS IN THE MALAYAN JUNGLE: A WWII Pilot's True Story of Faith, Courage, and Survival ","Donald J. ""DJ"" Humphrey  II",4.5 out of 5 stars,634,$15.98 
The Sentinel: A Jack Reacher Novel ,Mass Market Paperback,4.3 out of 5 stars,"23,232",$9.99 
The Five Wishes of Mr. Murray McBride ,Kindle,4.7 out of 5 stars,"5,556",$13.99 
Educated: A Memoir ,Tara Westover,4.7 out of 5 stars,"57,754",$13.00 
The Woman I Was Before: A gripping emotional page turner with a twist ,Kerry Fisher,4.2 out of 5 stars,"4,505",$3.99 
All About Me!: My Remarkable Life in Show Business ,Mel Brooks,4.5 out of 5 stars,17,$19.57 
Our Little Secret ,Kiersten Modglin,4.1 out of 5 stars,"2,027",$0.00 
The Boy from the Woods ,Audible Audiobook,4.4 out of 5 stars,"23,458",$11.99 
